"","cod_municipio_ibge","NO_MUNICIPIO_RESIDENCIA","UF","mean_grades_group_cities","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds","remuneracao_media","desvio_padrao"
"3451",3516002,"Flórida Paulista","SP",524.672222222222,0,0,0,0,0,0,0,642,0,0,15,0,0,0,0,2704.09,5043.84
"3452",3516101,"Florínea","SP",499.509558823529,0,0,0,0,8,0,0,89,0,0,0,0,0,0,0,2704.09,5043.84
"3453",3516200,"Franca","SP",535.911483616505,0,0,0,731,0,0,0,0,0,0,229,0,39152,0,0,2704.09,5043.84
"3454",3516309,"Francisco Morato","SP",497.001120283019,0,0,0,0,0,0,0,17328,0,0,108,0,0,0,0,2704.09,5043.84
"3455",3516408,"Franco da Rocha","SP",503.21943960511,0,0,0,0,0,0,0,13445,0,4,174,0,1,0,0,2704.09,5043.84
"3456",3516507,"Gabriel Monteiro","SP",527.889375,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3457",3516606,"Gália","SP",511.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3458",3516705,"Garça","SP",521.844752066116,0,0,0,0,0,0,0,3281,0,0,68,0,0,0,0,2704.09,5043.84
"3459",3516804,"Gastão Vidigal","SP",488.085204081633,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2704.09,5043.84
"3460",3516853,"Gavião Peixoto","SP",497.358928571429,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,2704.09,5043.84
"3461",3516903,"General Salgado","SP",512.118529411765,0,46,0,0,0,0,0,0,0,0,23,0,0,0,0,2704.09,5043.84
"3462",3517000,"Getulina","SP",499.883116883117,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2704.09,5043.84
"3463",3517109,"Glicério","SP",511.36,0,0,0,0,0,0,0,68,0,1,9,0,0,0,0,2704.09,5043.84
"3464",3517208,"Guaiçara","SP",493.950574712644,0,0,0,0,0,0,0,521,0,1,18,0,0,0,30,2704.09,5043.84
"3465",3517307,"Guaimbê","SP",482.267628205128,0,0,0,0,0,0,0,449,0,0,5,0,0,0,0,2704.09,5043.84
"3466",3517406,"Guaíra","SP",522.126485655738,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2704.09,5043.84
"3467",3517505,"Guapiaçu","SP",535.461657303371,0,0,0,0,0,0,0,606,0,2,16,0,0,0,0,2704.09,5043.84
"3468",3517604,"Guapiara","SP",500.700138121547,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2704.09,5043.84
"3469",3517703,"Guará","SP",514.763979289941,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,2704.09,5043.84
"3470",3517802,"Guaraçaí","SP",515.930288461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3471",3517901,"Guaraci","SP",513.589506172839,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,2704.09,5043.84
"3472",3518008,"Guarani d'Oeste","SP",501.3,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,2704.09,5043.84
"3473",3518107,"Guarantã","SP",498.077302631579,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2704.09,5043.84
"3474",3518206,"Guararapes","SP",527.071918604651,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2704.09,5043.84
"3475",3518305,"Guararema","SP",511.373725728155,0,0,1,0,0,0,0,0,0,3,71,0,6,0,0,2704.09,5043.84
"3476",3518404,"Guaratinguetá","SP",554.10699513382,0,0,0,0,0,0,0,3980,0,0,208,0,10760,0,0,2704.09,5043.84
"3477",3518503,"Guareí","SP",506.561516853933,0,0,0,0,50,0,0,0,0,0,20,0,0,0,0,2704.09,5043.84
"3478",3518602,"Guariba","SP",509.548509174312,0,34,0,0,0,0,0,3108,0,4,61,0,0,0,0,2704.09,5043.84
"3479",3518701,"Guarujá","SP",509.024003714961,0,0,0,651,0,0,0,11561,0,18,439,0,35317,0,0,2704.09,5043.84
"3480",3518800,"Guarulhos","SP",519.343452754782,0,0,0,0,0,0,0,0,0,0,1519,0,0,0,0,2704.09,5043.84
"3481",3518859,"Guatapará","SP",506.352985074627,0,0,0,0,0,0,0,545,0,0,16,0,0,0,0,2704.09,5043.84
"3482",3518909,"Guzolândia","SP",509.481481481481,10,0,0,0,0,0,0,161,0,0,11,0,0,0,0,2704.09,5043.84
"3483",3519006,"Herculândia","SP",523.26625,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3484",3519055,"Holambra","SP",537.877053140097,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,2704.09,5043.84
"3485",3519071,"Hortolândia","SP",516.25190120247,0,0,0,0,0,0,0,0,0,0,0,0,7749,0,0,2704.09,5043.84
"3486",3519105,"Iacanga","SP",511.574590163934,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,2704.09,5043.84
"3487",3519204,"Iacri","SP",519.96626984127,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3488",3519253,"Iaras","SP",503.911842105263,0,12,0,0,0,0,0,0,0,0,19,0,0,0,0,2704.09,5043.84
"3489",3519303,"Ibaté","SP",516.257239382239,0,0,65,0,0,0,0,0,0,3,36,0,0,0,0,2704.09,5043.84
"3490",3519402,"Ibirá","SP",538.480263157895,0,346,0,0,0,0,0,390,0,1,31,0,0,0,0,2704.09,5043.84
"3491",3519501,"Ibirarema","SP",509.720454545455,0,0,0,0,0,0,0,137,0,0,10,0,0,0,0,2704.09,5043.84
"3492",3519600,"Ibitinga","SP",532.121830985915,0,0,0,0,34,0,0,5083,0,6,73,0,0,0,0,2704.09,5043.84
"3493",3519709,"Ibiúna","SP",518.804900881057,0,3069,0,288,0,0,0,0,0,1,79,0,0,0,0,2704.09,5043.84
"3494",3519808,"Icém","SP",513.212362637363,0,0,0,0,0,0,0,233,0,2,22,0,0,0,0,2704.09,5043.84
"3495",3519907,"Iepê","SP",500.285087719298,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2704.09,5043.84
"3496",3520004,"Igaraçu do Tietê","SP",516.0913,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2704.09,5043.84
"3497",3520103,"Igarapava","SP",519.732584269663,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0,2704.09,5043.84
