cod_municipio_ibge,NO_MUNICIPIO_RESIDENCIA,UF,mean_grades_group_cities
2102374,Cachoeira Grande,MA,450.9906565656566
2102408,Cajapió,MA,444.0875939849624
2102507,Cajari,MA,450.3295751633987
2102556,Campestre do Maranhão,MA,467.7351239669421
2102606,Cândido Mendes,MA,450.70443349753697
2102705,Cantanhede,MA,459.9039156626506
2102754,Capinzal do Norte,MA,464.5839805825243
2102804,Carolina,MA,482.3721393034826
2102903,Carutapera,MA,468.0109939759036
2103000,Caxias,MA,474.63977039770396
2103109,Cedral,MA,452.0524590163934
2103125,Central do Maranhão,MA,459.0715909090909
2103158,Centro do Guilherme,MA,447.76902173913044
2103174,Centro Novo do Maranhão,MA,447.7736040609137
2103208,Chapadinha,MA,465.4416528468767
2103257,Cidelândia,MA,474.28685185185185
2103307,Codó,MA,462.35129213483145
2103406,Coelho Neto,MA,465.61066176470587
2103505,Colinas,MA,464.3970149253731
2103554,Conceição do Lago-Açu,MA,451.1290404040404
2103604,Coroatá,MA,464.5908940397351
2103703,Cururupu,MA,460.1835275423729
2103752,Davinópolis,MA,474.23385135135135
2103802,Dom Pedro,MA,486.40773137697516
2103901,Duque Bacelar,MA,458.06116071428573
2104008,Esperantinópolis,MA,461.4011070110701
2104057,Estreito,MA,466.2553206997085
2104073,Feira Nova do Maranhão,MA,449.1706043956044
2104081,Fernando Falcão,MA,445.1267857142857
2104099,Formosa da Serra Negra,MA,460.2900286259542
2104107,Fortaleza dos Nogueiras,MA,457.9926842105263
2104206,Fortuna,MA,475.4111607142857
2104305,Godofredo Viana,MA,458.0263157894737
2104404,Gonçalves Dias,MA,480.46441176470586
2104503,Governador Archer,MA,467.1319230769231
2104552,Governador Edison Lobão,MA,472.3757633587786
2104602,Governador Eugênio Barros,MA,461.78056872037916
2104628,Governador Luiz Rocha,MA,462.2004854368932
2104651,Governador Newton Bello,MA,462.10944881889765
2104677,Governador Nunes Freire,MA,466.0046255506608
2104701,Graça Aranha,MA,461.48655913978496
2104800,Grajaú,MA,462.56233355525967
2104909,Guimarães,MA,464.45
2105005,Humberto de Campos,MA,454.9612195121951
2105104,Icatu,MA,455.5313008130081
2105153,Igarapé do Meio,MA,470.3801724137931
2105203,Igarapé Grande,MA,463.5230446927374
2105302,Imperatriz,MA,495.7400113969391
2105351,Itaipava do Grajaú,MA,440.47265100671143
2105401,Itapecuru Mirim,MA,459.21838541666665
2105427,Itinga do Maranhão,MA,469.26159147869674
2105450,Jatobá,MA,455.1695652173913
2105476,Jenipapo dos Vieiras,MA,464.9745833333333
2105500,João Lisboa,MA,472.7084588644264
2105609,Joselândia,MA,455.18863636363636
2105658,Junco do Maranhão,MA,458.20703883495145
2105708,Lago da Pedra,MA,474.29694968553457
2105807,Lago do Junco,MA,469.9370535714286
2105906,Lago Verde,MA,449.4752024291498
2105922,Lagoa do Mato,MA,441.703125
2105948,Lago dos Rodrigues,MA,464.1788961038961
2105963,Lagoa Grande do Maranhão,MA,454.7780898876405
2105989,Lajeado Novo,MA,457.73266423357666
2106003,Lima Campos,MA,462.9476785714286
2106102,Loreto,MA,459.0366666666667
2106201,Luís Domingues,MA,454.7630952380952
2106300,Magalhães de Almeida,MA,455.8758435582822
2106326,Maracaçumé,MA,461.09769736842105
2106359,Marajá do Sena,MA,451.2419117647059
2106375,Maranhãozinho,MA,461.63235294117646
2106409,Mata Roma,MA,452.74612403100775
2106508,Matinha,MA,452.3509878419453
2106607,Matões,MA,456.2709128065395
2106631,Matões do Norte,MA,441.4237341772152
2106672,Milagres do Maranhão,MA,443.06305970149253
2106706,Mirador,MA,452.869806763285
2106755,Miranda do Norte,MA,458.4113344051447
2106805,Mirinzal,MA,452.7725
2106904,Monção,MA,461.9388996138996
2107001,Montes Altos,MA,455.1014423076923
2107100,Morros,MA,456.9515017667845
2107209,Nina Rodrigues,MA,454.03758278145693
2107258,Nova Colinas,MA,461.72235099337746
2107308,Nova Iorque,MA,442.83170731707315
2107357,Nova Olinda do Maranhão,MA,462.93422330097087
2107407,Olho d'Água das Cunhãs,MA,466.3491379310345
2107456,Olinda Nova do Maranhão,MA,462.50410714285715
2107506,Paço do Lumiar,MA,480.40291407867494
2107605,Palmeirândia,MA,450.21964285714284
2107704,Paraibano,MA,457.60779816513764
2107803,Parnarama,MA,454.336875
2107902,Passagem Franca,MA,455.7882425742574
2108009,Pastos Bons,MA,450.3154560810811
2108058,Paulino Neves,MA,470.76
2108108,Paulo Ramos,MA,465.0799278846154
2108207,Pedreiras,MA,485.86360248447204
2108256,Pedro do Rosário,MA,458.9265306122449
2108306,Penalva,MA,461.41689655172416
2108405,Peri Mirim,MA,451.08521126760564
2108454,Peritoró,MA,447.17776315789473
2108504,Pindaré-Mirim,MA,472.07275073746314
2108603,Pinheiro,MA,473.0080109489051
2108702,Pio XII,MA,458.4580498866213
2108801,Pirapemas,MA,447.09413265306125
2108900,Poção de Pedras,MA,462.4225
2109007,Porto Franco,MA,478.1207105719237
2109056,Porto Rico do Maranhão,MA,453.09967532467533
2109106,Presidente Dutra,MA,478.98710888610765
