"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"5150",3302254,"Itatiaia",0,0,0,0,0,0,0,2200,0,9,9,0,0,0,0
"5151",3302270,"Japeri",0,0,0,0,0,0,0,5707,0,5,0,0,0,1,0
"5152",3302304,"Laje do Muriaé",1131,0,0,0,0,0,0,167,0,0,1,0,0,0,0
"5153",3302403,"Macaé",0,0,0,343,0,0,0,0,0,189,44,0,21215,0,0
"5154",3302452,"Macuco",0,0,273,0,0,0,0,101,0,0,1,0,0,0,0
"5155",3302502,"Magé",0,0,0,198,0,0,0,0,0,0,0,0,0,0,0
"5156",3302601,"Mangaratiba",0,0,0,0,0,0,0,2366,80,0,0,0,0,7,0
"5157",3302700,"Maricá",0,0,0,52,0,0,0,5680,0,0,8,0,0,0,0
"5158",3302809,"Mendes",0,0,0,0,0,0,0,1495,0,3,1,0,0,0,0
"5159",3302908,"Miguel Pereira",0,0,1782,0,0,0,0,2270,0,2,0,0,0,1,0
"5160",3303005,"Miracema",0,0,0,0,0,0,0,804,0,2,0,0,0,1,0
"5161",3303203,"Nilópolis",0,0,0,0,0,0,0,0,0,0,23,0,3697,1,0
"5162",3303708,"Paraíba do Sul",0,0,12,0,0,0,0,1496,0,2,0,0,0,9,0
"5163",3303807,"Paraty",0,0,0,0,0,0,0,2935,0,6,0,0,0,1,0
"5164",3303856,"Paty do Alferes",0,0,0,0,0,0,0,997,0,0,0,0,0,0,0
"5165",3303906,"Petrópolis",0,0,0,41,0,0,0,0,0,43,49,0,7802,0,0
"5166",3304110,"Porto Real",0,0,0,0,0,0,0,221,0,3,3,0,0,0,0
"5167",3304128,"Quatis",0,0,0,0,0,0,0,451,0,3,0,0,0,7,0
"5168",3304151,"Quissamã",0,280,0,0,0,0,0,0,0,0,1,0,0,0,0
"5169",3304201,"Resende",0,0,0,253,0,0,0,6455,565,33,0,0,13752,0,0
"5170",3304409,"Rio Claro",0,0,0,0,0,0,0,309,0,0,0,0,0,0,0
"5171",3304508,"Rio das Flores",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5172",3304524,"Rio das Ostras",0,0,0,197,0,0,0,0,0,9,13,0,6590,0,0
"5173",3304607,"Santa Maria Madalena",0,0,0,0,0,0,0,114,0,7,0,0,0,0,0
"5174",3304706,"Santo Antônio de Pádua",0,0,1112,0,0,0,0,905,0,0,0,0,0,0,0
"5175",3305133,"São José de Ubá",0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
"5176",3305158,"São José do Vale do Rio Preto",0,0,0,0,0,0,0,252,0,0,1,0,0,0,0
"5177",3305208,"São Pedro da Aldeia",0,0,0,40,0,0,0,0,0,296,3,0,0,0,0
"5178",3305307,"São Sebastião do Alto",775,0,0,0,0,0,0,269,0,0,3,0,0,0,0
"5179",3305505,"Saquarema",0,793,0,0,0,0,0,3239,0,0,0,0,0,2,0
"5180",3305604,"Silva Jardim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5181",3305703,"Sumidouro",0,0,0,0,0,0,0,69,0,10,1,0,0,0,0
