"cod_mun","municipio","uf","pib","pib_p_capta"
1505635,"Piçarra                                                                                                                         ","PA ",212344123,16358.07
1505650,"Placas                                                                                                                          ","PA ",259230470,8367.13
1505700,"Ponta de Pedras                                                                                                                 ","PA ",222251352,7150.48
1505809,"Portel                                                                                                                          ","PA ",788180682,12703.78
1505908,"Porto de Moz                                                                                                                    ","PA ",322594517,7842.34
1506005,"Prainha                                                                                                                         ","PA ",293716026,9834.46
1506104,"Primavera                                                                                                                       ","PA ",237431109,21933.59
1506112,"Quatipuru                                                                                                                       ","PA ",100238201,7366.12
1506138,"Redenção                                                                                                                        ","PA ",1867762773,22028.88
1506161,"Rio Maria                                                                                                                       ","PA ",495740788,27248.99
1506187,"Rondon do Pará                                                                                                                  ","PA ",534710916,10212.79
1506195,"Rurópolis                                                                                                                       ","PA ",376323620,7450.48
1506203,"Salinópolis                                                                                                                     ","PA ",532188447,13083.92
1506302,"Salvaterra                                                                                                                      ","PA ",180642603,7605.36
1506351,"Santa Bárbara do Pará                    Região Metropolitana de Belém                                                          ","PA ",181390609,8605.28
1506401,"Santa Cruz do Arari                                                                                                             ","PA ",71848062,7094
1506500,"Santa Izabel do Pará                     Região Metropolitana de Belém                                                          ","PA ",796708705,11252.79
1506559,"Santa Luzia do Pará                                                                                                             ","PA ",161038268,8113.58
1506583,"Santa Maria das Barreiras                                                                                                       ","PA ",499466164,23286.22
1506609,"Santa Maria do Pará                                                                                                             ","PA ",291668857,11731.98
1506708,"Santana do Araguaia                                                                                                             ","PA ",1036054572,14228.2
1506807,"Santarém                                 Região Metropolitana de Santarém                                                       ","PA ",5126171506,16829.8
1506906,"Santarém Novo                                                                                                                   ","PA ",45342603,6758.47
1507003,"Santo Antônio do Tauá                                                                                                           ","PA ",385918635,12258.39
1507102,"São Caetano de Odivelas                                                                                                         ","PA ",145761017,8075.4
1507151,"São Domingos do Araguaia                                                                                                        ","PA ",285258546,11161.66
1507201,"São Domingos do Capim                                                                                                           ","PA ",346817189,10841.76
1507300,"São Félix do Xingu                                                                                                              ","PA ",1450327479,11288.26
1507409,"São Francisco do Pará                                                                                                           ","PA ",240872697,15166.4
1507458,"São Geraldo do Araguaia                                                                                                         ","PA ",521744145,20998.28
1507466,"São João da Ponta                                                                                                               ","PA ",46627966,7595.37
